NACA 4412 (generated, 120 pts/surface, closed TE)
 1.000000  -0.000000
 0.999829  +0.000048
 0.999317  +0.000193
 0.998463  +0.000434
 0.997268  +0.000771
 0.995733  +0.001203
 0.993859  +0.001729
 0.991647  +0.002347
 0.989098  +0.003057
 0.986214  +0.003857
 0.982997  +0.004746
 0.979448  +0.005720
 0.975570  +0.006779
 0.971365  +0.007920
 0.966836  +0.009140
 0.961985  +0.010437
 0.956816  +0.011809
 0.951331  +0.013251
 0.945535  +0.014762
 0.939430  +0.016339
 0.933021  +0.017977
 0.926312  +0.019674
 0.919306  +0.021426
 0.912009  +0.023230
 0.904425  +0.025083
 0.896559  +0.026980
 0.888416  +0.028917
 0.880001  +0.030892
 0.871319  +0.032901
 0.862377  +0.034938
 0.853180  +0.037002
 0.843734  +0.039087
 0.834045  +0.041190
 0.824120  +0.043308
 0.813966  +0.045436
 0.803588  +0.047570
 0.792995  +0.049706
 0.782192  +0.051841
 0.771188  +0.053971
 0.759990  +0.056092
 0.748604  +0.058200
 0.737040  +0.060292
 0.725305  +0.062364
 0.713406  +0.064412
 0.701353  +0.066432
 0.689153  +0.068422
 0.676814  +0.070377
 0.664346  +0.072294
 0.651756  +0.074169
 0.639054  +0.076000
 0.626249  +0.077783
 0.613348  +0.079514
 0.600363  +0.081191
 0.587300  +0.082811
 0.574171  +0.084370
 0.560983  +0.085866
 0.547747  +0.087295
 0.534472  +0.088655
 0.521167  +0.089944
 0.507842  +0.091159
 0.494506  +0.092297
 0.481169  +0.093355
 0.467841  +0.094333
 0.454531  +0.095227
 0.441249  +0.096037
 0.428004  +0.096759
 0.414807  +0.097392
 0.401667  +0.097935
 0.388411  +0.098369
 0.375202  +0.098662
 0.362079  +0.098814
 0.349051  +0.098826
 0.336129  +0.098698
 0.323322  +0.098432
 0.310642  +0.098027
 0.298098  +0.097486
 0.285700  +0.096811
 0.273458  +0.096003
 0.261383  +0.095064
 0.249483  +0.093999
 0.237768  +0.092809
 0.226248  +0.091498
 0.214931  +0.090070
 0.203827  +0.088528
 0.192944  +0.086877
 0.182291  +0.085120
 0.171877  +0.083262
 0.161709  +0.081309
 0.151794  +0.079264
 0.142142  +0.077134
 0.132758  +0.074923
 0.123651  +0.072637
 0.114826  +0.070282
 0.106290  +0.067862
 0.098050  +0.065385
 0.090111  +0.062855
 0.082479  +0.060278
 0.075159  +0.057660
 0.068157  +0.055007
 0.061476  +0.052325
 0.055121  +0.049619
 0.049096  +0.046895
 0.043405  +0.044158
 0.038052  +0.041414
 0.033039  +0.038668
 0.028370  +0.035925
 0.024047  +0.033189
 0.020072  +0.030465
 0.016447  +0.027757
 0.013175  +0.025070
 0.010256  +0.022408
 0.007691  +0.019773
 0.005483  +0.017169
 0.003630  +0.014598
 0.002134  +0.012064
 0.000995  +0.009568
 0.000213  +0.007113
 -0.000214  +0.004699
 -0.000284  +0.002328
 0.000000  +0.000000
 0.000633  -0.002258
 0.001607  -0.004420
 0.002922  -0.006487
 0.004575  -0.008458
 0.006565  -0.010334
 0.008889  -0.012114
 0.011544  -0.013799
 0.014529  -0.015390
 0.017839  -0.016888
 0.021471  -0.018291
 0.025423  -0.019602
 0.029691  -0.020822
 0.034270  -0.021950
 0.039158  -0.022989
 0.044349  -0.023939
 0.049840  -0.024802
 0.055626  -0.025578
 0.061702  -0.026270
 0.068064  -0.026879
 0.074707  -0.027407
 0.081626  -0.027855
 0.088816  -0.028226
 0.096271  -0.028522
 0.103986  -0.028744
 0.111957  -0.028896
 0.120176  -0.028980
 0.128639  -0.028998
 0.137340  -0.028954
 0.146274  -0.028849
 0.155434  -0.028688
 0.164814  -0.028473
 0.174409  -0.028207
 0.184213  -0.027894
 0.194219  -0.027538
 0.204421  -0.027141
 0.214814  -0.026707
 0.225390  -0.026241
 0.236143  -0.025746
 0.247068  -0.025225
 0.258157  -0.024683
 0.269405  -0.024124
 0.280803  -0.023551
 0.292346  -0.022969
 0.304028  -0.022380
 0.315840  -0.021791
 0.327776  -0.021203
 0.339829  -0.020622
 0.351992  -0.020050
 0.364258  -0.019492
 0.376619  -0.018952
 0.389068  -0.018432
 0.401625  -0.017936
 0.414434  -0.017440
 0.427306  -0.016929
 0.440231  -0.016405
 0.453201  -0.015872
 0.466207  -0.015331
 0.479242  -0.014785
 0.492295  -0.014235
 0.505358  -0.013684
 0.518423  -0.013133
 0.531480  -0.012585
 0.544521  -0.012041
 0.557537  -0.011502
 0.570519  -0.010971
 0.583458  -0.010448
 0.596346  -0.009935
 0.609173  -0.009432
 0.621930  -0.008942
 0.634609  -0.008464
 0.647201  -0.008000
 0.659697  -0.007550
 0.672088  -0.007115
 0.684366  -0.006695
 0.696522  -0.006291
 0.708547  -0.005902
 0.720434  -0.005529
 0.732172  -0.005173
 0.743755  -0.004832
 0.755174  -0.004507
 0.766421  -0.004197
 0.777487  -0.003903
 0.788365  -0.003624
 0.799046  -0.003360
 0.809524  -0.003110
 0.819790  -0.002874
 0.829837  -0.002651
 0.839658  -0.002442
 0.849245  -0.002245
 0.858591  -0.002060
 0.867690  -0.001886
 0.876534  -0.001723
 0.885118  -0.001571
 0.893434  -0.001429
 0.901477  -0.001296
 0.909240  -0.001172
 0.916718  -0.001057
 0.923905  -0.000949
 0.930796  -0.000850
 0.937385  -0.000757
 0.943667  -0.000671
 0.949638  -0.000592
 0.955292  -0.000519
 0.960627  -0.000451
 0.965637  -0.000390
 0.970318  -0.000333
 0.974668  -0.000282
 0.978682  -0.000235
 0.982357  -0.000193
 0.985692  -0.000155
 0.988682  -0.000122
 0.991326  -0.000093
 0.993622  -0.000068
 0.995568  -0.000047
 0.997162  -0.000030
 0.998403  -0.000017
 0.999290  -0.000007
 0.999822  -0.000002
 1.000000  +0.000000
